job_title,company_name,location,job_type,experience_level,education_req,salary_range,job_requirements,job_responsibilities,posted_date,source_platform,education_min,salary_avg_numeric,experience_group,req_sales,req_excel_office,req_komunikasi,req_english
Account Executive (Sales Wifi),PT BINAJASA SUMBER SARANA,"Ulee Kareng, Banda Aceh, Nanggroe Aceh Darussalam",Full Time,1-3 tahun,High School,Rp 2.600.000 - Rp 5.000.000,"Sales Analysis, Client Services, Account Management, Sales Strategy, B2C Sales, Sales and Marketing",Melakukan negosiasi dan penjualan produk wifi kepada klien | Menawarkan produk wifi secara door to door | Melaporkan aktivitas harian secara teratur,2026-03-03,Glints,SMA/SMK,3800000.0,Junior,1,0,0,0
Akusisi Merchant,PT BINAJASA SUMBER SARANA,"Gubeng, Surabaya, Jawa Timur",Full Time,1-3 tahun,Diploma,Rp 5.000.000 - Rp 5.200.000,"Sales Strategy, B2C Sales, Customer Service, Customer Relationship Management","Onboard 1 komunitas/hari (min. 25 member) | Kunjungi 6 komunitas potensial/hari | Kelola & maintain komunitas via WhatsApp | Share update, SOP, success story & handle issue dengan cepat | Adakan event kecil & gathering per kuartal | Jaga engagement & tingkatkan transaksi Digital Goods",2026-03-03,Glints,D3,5100000.0,Junior,1,0,0,0
Customer Service Officer (Medan),PT BINAJASA SUMBER SARANA,"Medan Petisah, Medan, Sumatera Utara",Full Time,0-1 tahun,High School,Rp 5.000.000 - Rp 5.500.000,"Customer Relationship Management, Customer Service, Communication Skills, Customer Support, Problem Solving",,2026-03-03,Glints,SMA/SMK,5250000.0,Fresh Graduate,0,0,1,0
Sales Promotion girl,PT BINAJASA SUMBER SARANA,"Pasar Minggu, Jakarta Selatan, DKI Jakarta",Full Time,1-3 tahun,High School,Rp 5.000.000 - Rp 7.000.000,"Sales Strategy, Sales and Marketing, Communication Skills",✔ Memberikan layanan terbaik kepada pelanggan | ✔ Menguasai informasi produk yang dijual | ✔ Menjaga citra dan branding toko/produk | ✔ Melaporkan stok barang yang menipis | ✔ Memastikan produk selalu tersedia dan menarik untuk dibeli | 📌 Skill yang Diperlukan | Komunikatif dan ramah | Penampilan menarik dan rapi | Mampu bekerja di bawah target | Dasar negosiasi dan customer service | Jujur dan disiplin,2026-03-02,Glints,SMA/SMK,6000000.0,Junior,1,0,1,0
Staf Housekeeping,PT BINAJASA SUMBER SARANA,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Contract,1-3 tahun,High School,Rp 2.500.000 - Rp 3.000.000,"Customer Service, Housekeeping, Hotel Cleaning","Membersihkan dan merapikan kamar tamu sesuai standar yang ditetapkan. | Membersihkan area publik | Mengganti linen, handuk, dan perlengkapan kamar sesuai prosedur. | Memastikan kebersihan, kerapihan, dan kenyamanan area kerja setiap saat. | Melaporkan kerusakan fasilitas atau barang hilang kepada atasan. | Menggunakan peralatan dan bahan pembersih dengan benar dan aman. | Menjaga kualitas pelayanan dan kepuasan tamu/penghuni. | Bekerja sama dengan tim dan mengikuti arahan supervisor. | Kewajiban Housekeeping | Hadir tepat waktu dan mematuhi jadwal kerja yang telah ditentukan. | Mengikuti standar operasional prosedur (SOP) dan peraturan perusahaan. | Menjaga sikap sopan, ramah, dan profesional selama bekerja. | Mematuhi standar grooming dan kebersihan diri.",2026-03-02,Glints,SMA/SMK,2750000.0,Junior,0,0,0,0
Field Verification Officer,PT BINAJASA SUMBER SARANA,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Full Time,1-3 tahun,Diploma,Rp 5.729.875 - Rp 5.729.876,"Building Relation, Data Monitoring, Network Monitoring",,2026-02-24,Glints,D3,5729875.5,Junior,0,0,0,0
Sales,PT BINAJASA SUMBER SARANA,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Full Time,0-50 tahun,High School,Rp 3.500.000 - Rp 4.500.000,"Customer Service, Communication Skills, Sales and Marketing",Menawarkan dan menjual produk kepada pelanggan secara keliling area (penempatan sesuai domisili) | Mencari peluang penjualan dan menjalin jaringan dengan calon pelanggan | Melaporkan aktivitas harian secara teratur,2026-02-24,Glints,SMA/SMK,4000000.0,Fresh Graduate,1,0,1,0
Sales Wifi,PT BINAJASA SUMBER SARANA,"Semarang Selatan, Semarang, Jawa Tengah",Full Time,0-1 tahun,High School,Rp 3.200.000 - Rp 6.000.000,"Sales and Marketing, Communication Skills, Customer Relationship Management, Sales Management, Sales Strategy, Customer Service","Kualifikasi untuk posisi ini meliputi pendidikan minimal sekolah menengah atas atau menengah atas, serta keterampilan yang relevan seperti customer service, strategi sales, pemasaran, manajemen hubungan pelanggan, komunikasi, dan manajemen sales. Kami mencari individu yang memiliki ambisi tinggi, kemampuan untuk bekerja di bawah tekanan, dan keinginan untuk tumbuh bersama kami. PT BINAJASA SUMBER SARANA memberikan kesempatan yang luar biasa untuk karier yang sukses dan perkembangan yang terus-menerus. Bergabunglah dengan tim kami dan jadilah bagian dari perjalanan kami menuju keberhasilan bersama.",2026-02-23,Glints,SMA/SMK,4600000.0,Fresh Graduate,1,0,1,0
Sales Toko Cat,PT BINAJASA SUMBER SARANA,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Full Time,1-3 tahun,High School,Rp 3.000.000 - Rp 5.000.000,"Sales and Marketing, Customer Service, Communication Skills",,2026-02-11,Glints,SMA/SMK,4000000.0,Junior,1,0,1,0
Sales Canvaser,PT BINAJASA SUMBER SARANA,"Beji, Depok, Jawa Barat",Full Time,0-1 tahun,High School,Rp 3.000.000 - Rp 4.000.000,"Sales Strategy, Salesforce, Sales and Marketing, Communication Skills",Memiliki kendaraan pribadi (motor) dan SIM C aktif | Siap bekerja mobile / door to door | Mampu bekerja secara mandiri maupun dalam tim,2026-02-09,Glints,SMA/SMK,3500000.0,Fresh Graduate,1,0,1,0
Leader Marketing,ide creative,"Bojonegoro, Kab. Bojonegoro, Jawa Timur",Full Time,1-3 tahun,Diploma,,"Analytical Skills, Marketing Strategy, Google Analytics, Marketing Communications, Content Marketing, Social Media, Market Research, Meta Ads, Content Strategy, B2B Marketing, Leadership, Tiktok Affiliate, TikTok Ads, Digital Marketing, Affiliate Marketing",,2026-03-04,Glints,D3,,Junior,1,0,0,0
Personal Trainer,PT Exertainment Indonesia,"Kuta Selatan, Kab. Badung, Bali",Full Time,0-1 tahun,High School,,"Communication Skills, Physical Fitness, Fitness, Teaching",Menyediakan program Personal Trainer (PT) bagi member | Memberikan pelayanan profesional kepada member | Mencapai target sesuai yang diharapkan perusahaan,2026-03-04,Glints,SMA/SMK,,Fresh Graduate,0,0,1,0
Membership Consultant,PT Exertainment Indonesia,"Kuta Selatan, Kab. Badung, Bali",Full Time,1-3 tahun,High School,,"Customer Relationship Management, Sales and Marketing, Customer Service, B2C Sales, Communication Skills",Menjual program membership untuk mencapai target penjualan bulanan pribadi yang disepakati sehubungan dengan tujuan perusahaan | Menyediakan & menindaklanjuti pelayanan kepada member | Memberitahukan daftar harga terkini & memastikan pemahaman yang jelas mengenai biaya & fitur membership yang ditawarkan oleh klub,2026-03-04,Glints,SMA/SMK,,Junior,1,0,1,0
Accounts Receivable Sr. Associate,Glints Taploker,"Batu Ampar, Batam, Kepulauan Riau",Internship,3-5 tahun,Bachelor Degree,,"Accounting, Microsoft Excel, Accounts Receivable and Payable Accounting, Accounts Receivable",,2026-03-04,Glints,S1,,Mid,0,1,0,0
Membership Consultant,PT Exertainment Indonesia,"Tegalsari, Surabaya, Jawa Timur",Full Time,1-3 tahun,High School,,"Customer Relationship Management, B2C Sales, Communication Skills, Sales and Marketing, Customer Service",Menjual program membership untuk mencapai target penjualan bulanan pribadi yang disepakati sehubungan dengan tujuan perusahaan | Menyediakan & menindaklanjuti pelayanan kepada member | Memberitahukan daftar harga terkini & memastikan pemahaman yang jelas mengenai biaya & fitur membership yang ditawarkan oleh klub,2026-03-04,Glints,SMA/SMK,,Junior,1,0,1,0
SPG (Sales Promotion Girl) Toko Area Bali,PT Yuni Fashion Group,"Denpasar Barat, Denpasar, Bali",Full Time,1-3 tahun,High School,Rp 3.000.000 - Rp 3.500.000,"Sales Analysis, Sales Strategy, Sales Operations, Communication Skills, Salesforce","Pelayanan Pelanggan: Melayani dan memberikan konsultasi kepada pelanggan mengenai produk fashion bayi dan anak, termasuk pemilihan bahan yang aman dan ukuran yang sesuai. | Pencapaian Target Penjualan: Melakukan teknik up-selling dan cross-selling untuk mencapai atau melampaui target penjualan harian dan bulanan yang ditetapkan perusahaan. | Product Knowledge: Menguasai informasi detail mengenai spesifikasi produk, keunggulan bahan (seperti bahan organik/anti-alergi), serta tren mode anak terkini. | Manajemen Stok: Melakukan pemantauan stok di area display, melakukan pengisian ulang (replenishment) dari gudang, serta memastikan label harga dan barcode terpasang dengan benar. | Pemeliharaan Area: Menjaga kebersihan, higienitas, dan kenyamanan area belanja fashion agar tetap aman bagi pelanggan dan anak-anak. | Laporan Berkala: Membantu proses stok opname dan memberikan laporan harian mengenai produk yang paling diminati (best-seller) atau keluhan pelanggan kepada supervisor.",2026-03-04,Glints,SMA/SMK,3250000.0,Junior,1,0,1,0
Sopir / Driver,Bluebird Pool Radin Inten,"Duren Sawit, Jakarta Timur, DKI Jakarta",Full Time,1-3 tahun,High School,,"Tidak Bertatto Dan Bertindik, Menguasai Google Maps, Communication Skills",,2026-03-04,Glints,SMA/SMK,,Junior,0,0,1,0
Sales Enrollment/Admission Consultant,hadetama,"Pondok Gede, Bekasi, Jawa Barat",Full Time,0-1 tahun,High School,,"Customer Service, Teamwork, Microsoft Office, Online Education Products, Education Consulting",Menangani dan menindaklanjuti leads yang masuk melalui WhatsApp dan Instagram | Memberikan konsultasi program kepada calon peserta secara profesional dan persuasif | Mengarahkan calon peserta ke program yang sesuai dengan kebutuhan dan prioritas perusahaan | Melakukan follow-up secara aktif hingga proses pendaftaran selesai | Mencapai target pendaftaran yang telah ditentukan | Membuat laporan sederhana terkait prospek dan hasil penjualan,2026-03-04,Glints,SMA/SMK,,Fresh Graduate,0,1,0,0
Simulation Engineer (AI-Assisted CFD),PT StoryG Jaya Indonesia,"Singosari, Kab. Malang, Jawa Timur",Full Time,3-5 tahun,Bachelor Degree,Rp 5.000.000 - Rp 8.000.000,"Computer Vision, Artificial Intelligence, Data Engineering, Data Mining, Deep Learning, Machine Learning, Natural Language Processing (NLP), Pattern Recognition, Neural Network, Redis",,2026-03-04,Glints,S1,6500000.0,Mid,0,0,0,0
Sales Representative,Cv Kurnia Jaya Perkasa,"Semarang Timur, Semarang, Jawa Tengah",Full Time,1-3 tahun,Bachelor Degree,Rp 3.000.000 - Rp 4.500.000,"Sales and Marketing, Sales Analysis, Sales Management, Sales Strategy, Communication Skills","Menawarkan dan menjual produk kepada pelanggan ( offline dan online ) | Menjaga hubungan baik dengan pelanggan dan memberikan layanan purna jual. | Melakukan follow-up terhadap prospek dan pelanggan yang ada. | Mencari pelanggan baru untuk memperluas basis pelanggan perusahaan. | Menginput orderan dan data pelanggan ke dalam sistem yang digunakan perusahaan | Melaporkan hasil evaluasi kinerja, kendala yang dihadapi, masukan dari pelanggan, dan pengamatan lapangan kepada atasan. ( Daily report) | Job Requirements | Pengalaman minimal 1 tahun di bidang yang sama | Pendidikan minimal S1 | Terbiasa menggunakan komputer / Input data CRM | Mempunyai kemampuan komunikasi dan negosiasi yang baik | Mampu bekerja secara individu maupun dalam tim. | Terbiasa bekerja dengan target dan memiliki semangat tinggi untuk mencapai hasil terbaik. | Mampu menggunakan media digital untuk promosi dan pemasaran (WhatsApp, Instagram, dll).",2026-03-03,Glints,S1,3750000.0,Junior,1,0,1,0
Supir Taksi,PT.Bluebird Group Tbk,"Batuceper, Tangerang, Banten",Full Time,0-65 tahun,Primary School,Rp 4.000.000 - Rp 6.000.000,"Public Speaking, Customer Service, Driving",,2026-03-03,Glints,SD,5000000.0,Fresh Graduate,0,0,0,0
Manager Operasional,Sambal bakar Mang Ujang,"Sukajadi, Bandung, Jawa Barat",Full Time,10-50 tahun,Bachelor Degree,Rp 9.000.000 - Rp 12.000.000,"Presentation Skills, Restaurant Management, Analytical Skills, Leadership, Communication Skills, Creative Thinking, Problem Solving","Mengelola dan mengawasi seluruh operasional harian di beberapa outlet agar berjalan efektif, efisien, dan sesuai standar perusahaan. | Mengembangkan serta mengimplementasikan strategi operasional untuk mencapai target penjualan, profit, dan KPI perusahaan. | Mengontrol dan mengoptimalkan biaya operasional (food cost, COGS, labor cost, dan overhead) sesuai dengan budget yang ditetapkan. | Memastikan kualitas produk, standar pelayanan, kebersihan, dan konsistensi brand di seluruh outlet. | Menjamin penerapan SOP, standar keamanan pangan, sanitasi, serta kepatuhan terhadap regulasi pemerintah. | Menganalisis performa outlet melalui laporan harian, mingguan, dan bulanan serta memberikan action plan perbaikan. | Memimpin, membimbing, dan mengembangkan tim supervisor serta staf operasional untuk mencapai performa terbaik. | Mengidentifikasi dan menyelesaikan permasalahan operasional secara cepat dan efektif. | Berkolaborasi dengan bagian lain untuk mendukung kelancaran operasional. | Terlibat dalam proses pembukaan outlet baru (pre-opening), termasuk perencanaan, rekrutmen, dan pelatihan tim.",2026-03-03,Glints,S1,10500000.0,Fresh Graduate,0,0,1,0
Host Live streamer,Cv. Precious Stone,"Sambikerep, Surabaya, Jawa Timur",Full Time,1-3 tahun,High School,Rp 2.000.000 - Rp 4.000.000,"Live Streaming, TikTok, Marketing Communications, Communication Skills, Public Speaking, Social Media",,2026-03-03,Glints,SMA/SMK,3000000.0,Junior,1,0,1,0
Admin Operational,Tridi Print Aja,"Penjaringan, Jakarta Utara, DKI Jakarta",Full Time,0-1 tahun,High School,Rp 2.500.000 - Rp 3.000.000,"CAD, 3D Modeling, AutoCAD, 3D Rendering, 3D Animation, 3D Design, 3D Printing",,2026-03-03,Glints,SMA/SMK,2750000.0,Fresh Graduate,0,0,0,0
E-Commerce Specialist,PT Poly Stamino Indonesia,"Kalideres, Jakarta Barat, DKI Jakarta",Full Time,1-3 tahun,High School,Rp 2.000.000 - Rp 4.000.000,"Microsoft Word, Customer Service, Microsoft Excel, Microsoft Office, Teamwork, Administration",,2026-03-03,Glints,SMA/SMK,3000000.0,Junior,0,1,0,0
Host Live Streaming WFH,Namari the Label,"Cengkareng, Jakarta Barat, DKI Jakarta",Full Time,1-3 tahun,High School,Rp 3.000.000 - Rp 7.000.000,"Host, Customer Service, Presentation Skills, Public Speaking",,2026-03-03,Glints,SMA/SMK,5000000.0,Junior,0,0,0,0
Penjaga Rumah / PRT (Pekerja Rumah Tangga),CV. Sarana Derma Makmur,"Cilandak, Jakarta Selatan, DKI Jakarta",Full Time,3-5 tahun,High School,Rp 2.000.000 - Rp 2.300.000,"Cleaning Service, Security Management, Teamwork",Menjadi PRT & penjaga rumah atasan | Membersihkan seluruh area kaca rumah | Membersihkan area outdoor dan kolam | Membersihkan area gudang dan genset | Merawat taman dan tanaman,2026-03-03,Glints,SMA/SMK,2150000.0,Mid,0,0,0,0
host live streaming,Probyte Agency,"Limo, Depok, Jawa Barat",Full Time,1-3 tahun,High School,Rp 3.000.000 - Rp 10.000.000,"Live Streaming, Host, Marketing Communications, Public Speaking",,2026-03-03,Glints,SMA/SMK,6500000.0,Junior,1,0,0,0
host live streaming,Probyte Agency,"Pamulang, Tangerang Selatan, Banten",Full Time,1-3 tahun,High School,Rp 3.000.000 - Rp 10.000.000,"Marketing Communications, Public Speaking, Host",,2026-03-03,Glints,SMA/SMK,6500000.0,Junior,1,0,0,0
"Sales Besi Baja (Weaplate, Plat SS400 & Kapal, SPHC, SPCC, Coil)",PT. China Fine Steel Share,"Penjaringan, Jakarta Utara, DKI Jakarta",Contract,1-3 tahun,High School,Rp 6.000.000 - Rp 9.000.000,"Sales and Marketing, Coil Galvanis, Plat Baja, Plat Spcc, Galvanis, Kabel Tray, Baja, besi, Hollow, B2B Sales, Coil Galvalum, Cnp, Steel, Plat Kapal, Kawat, Plat Sphc, Pipa Seamless, B2C Sales, Plat Ss400, Wearplate",,2026-03-03,Glints,SMA/SMK,7500000.0,Junior,1,0,0,0
Finance Accounting Staff,Kalbe Nutritionals (PT Sanghiang Perkasa),Karawang Barat,Full Time,,S1,,S1 Akuntansi / Keuangan,"Mengatur cash flow perusahaan untuk mendukung kegiatan operasional | Membuat laporan keuangan, analisa laporan keuangan setiap bulan kepada Manajemen | Melakukan transaksi operasional day to day ke dalam pencatatan akuntansi yang sesuai dengan PSAK | Melakukan compliance proses pembayaran, penerimaan sesuai dengan aturan yang berlaku dan memastikan tersedianya budget | Melakukan proses pencatatan actual biaya dan status realisasinya secara periodik | Bersedia di tempatkan di PT Kalbe Morinaga Indonesia ( Cikampek Jawa Barat)",2026-02-23,LinkedIn,S1,,Unknown,0,0,0,0
Process Development Internship,Kalbe Nutritionals (PT Sanghiang Perkasa),Jakarta Timur,Internship,,SMK,,Mahasiswa minimal semester 6 yang sedang dalam terbuka untuk mengikuti Program Magang | Memahami proses uji sampel makanan di laboratorium | Teliti dan memiliki analisa masalah yang baik | Bersedia mengikuti program Magang selama 6 bulan. Periode Program Magang dari bulan Maret - September 2026,Membantu persiapan uji sampel produk di laboratorium,2026-03-02,LinkedIn,SMA/SMK,,Unknown,0,0,0,0
Staff GA (Pulogadung),PT. Sarimelati Kencana Tbk.,Jakarta Timur,Contract,,"D3, S1",,"Pendidikan D3 atau S1 Management atau Hukum | Memiliki pengalaman sebagai staff HR atau GA pada food industry/FMCG min 1 tahun | Memahami sistem FSSC 22000, GMP, SJH, dan proses produksi makanan","Berkoordinasi dengan pihak eksternal seperti vendor atau instansi terkait | Mengurus administrasi yang berhubungan dengan HR, seperti surat pengantar, surat perintah lembur, absensi dll | Mengelola filling dokumen HRGA & legalitas perusahaan | Memperhatikan dan mengatur ATK, sarana dan prasarana lainnya | Merekapitulasi dan filling dokumen PR, invoice & advance | Koordinasi dengan house keeping mengelola ruang meeting, mushola & pantry",2026-02-25,LinkedIn,D3,,Unknown,0,0,0,0
Import Staff,PT. Surya TOTO Indonesia Tbk,Area DKI Jakarta,Full Time,,Bachelor,,"Minimum Bachelor's Degree in any field from reputable university. | Minimum 2 years of experience in the same position. | Have good knowledge of export import documents (COD, PEB, PIB, BL, Invoice) and regulations. | Excellent communication, interpersonal, and negotiation skills. | Fluent in English (written and oral), Mandarin is a plus. | Proficient in Ms. Office (minimum Ms.Word and Excel). | Have a highly integrity, detail oriented, under pressure and hardworking. | Honest and Dress neatly.","Ensure all import activities run well without any issue in customs. | Responsible for arranging, completing, and ensure all documents comply with government regulations, policies, and procedures. | Working closely with overseas suppliers and shipping companies. | Maintain a good relationship with all vendors. | Negotiate terms and contract with vendors.",2026-02-13,LinkedIn,S1,,Unknown,0,1,1,1
Social Media Junior Officer,PT Bank Sinarmas Tbk,"Jakarta Raya, Indonesia",Contract,,S1,,"Pendidikan min. S1 dari jurusan Ilmu Komunikasi, Marketing, Broadcasting, Advertising, Digital Media, atau bidang terkait lainnya. | Mampu menggunakan tools Meta Business Suite, TikTok Creative Center, YouTube Studio, analytics tools, serta platform desain dasar seperti Canva. | Memiliki pengalaman 1 tahun sebagai Social Media Specialist, Content Creator, Digital Marketing Staff, atau peran serupa (fresh graduates dipertimbangkan jika memiliki portofolio yang kuat).","Melakukan penyusunan editorial plan dan kalender konten bulanan sesuai objektif brand. | Melakukan pengembangan ide kreatif dan konsep konten yang storytelling-driven untuk berbagai platform (Instagram, TikTok, YouTube, Facebook, X). | Melakukan pengelolaan akun media sosial, termasuk posting, scheduling, monitoring, dan community management. | Melakukan penyusun caption dan memastikan konsistensi tone of voice brand. | Mendukung pengembangan dan eksekusi kampanye media sosial end-to-end. | Membuat laporan performa media sosial dan menganalisis metrik utama untuk memberikan insight dan rekomendasi perbaikan. | Melakukan riset tren dan menganalisis kompetitor untuk mengembangkan ide konten yang relevan. | Berkoordinasi dengan tim kreatif, digital marketing, serta stakeholder lainnya untuk memastikan eksekusi konten dan kampanye berjalan lancar.",2026-02-25,LinkedIn,S1,,Unknown,1,0,1,0
Business Development Officer,Kalbe Consumer Health,"Jakarta Raya, Indonesia",Full Time,,Bachelor,,"Education minimum Bachelor’s degree in Pharmacy, Apothecary, or Food Technology | Minimum 2-3 years experience in Business Development | Strong leadership and negotiation skills","JOIN US TO BE THE BRIGHTEST STAR | We Do Innovative Work That Brings a Better Life | We believe what we do every day is always embedded with innovation. At Kalbe Consumer Health, you will build your career and find your purpose. At the same time, keep innovating to provide best-in-class products for many families. We are looking for those who can bring happiness through quality health products and continuous innovation for a better life. | Position: Business Development Officer | About The Role : | We are looking for a Business Development Officer to drive the company's on new and existing product growth by identifying healthcare trends, developing new opportunities, and enhancing market competitiveness. | What You Will Do? | Responsible for new business or new product development start from ideation up to commercialization | Develop business case for new product or existing product | Set up project timeline for approved business case and do coordination with other department as project leader | Monitoring and make sure the project timeline running on time based on targeted schedule | Gather information and do collaboration and coordination from other related parties (internal and external) | Manage sustainable business from existing brand portfolio | What You Will Need? | Have the ability to speak English, both verbally and in written | Have a good understanding of business processes | Willing to work in East Jakarta | Benefit? | Self-Development opportunity (Training, career path) | About The Team",2026-02-03,LinkedIn,S1,,Unknown,0,0,0,1
Business Finance & Analytics Officer,PT. Sarimelati Kencana Tbk.,"Jakarta Raya, Indonesia",Full Time,,"S1, Bachelor",,"Min S1/ Bachelor's degree in Finance, Accounting, Business, or related field. | Strong analytical with attention to detail. | Proficiency in budgeting, financial modeling and data analysis. | Knowledge of accounting principles and financial reporting. | Excellent communication and presentation skills. | Advanced proficiency in Microsoft Excel and other relevant financial software. | Experience in creating dashboards with Google Data Studio/Looker is preferable.","We are seeking a detail-oriented and analytical Financial Analyst to join our dynamic finance team. | He/ she will be responsible for providing insightful financial analysis, preparing reports, and supporting decision-making in the Company. | This role involves working closely with various departments to analyze financial data, monitor budgets, and contribute to the financial health of the company. | Financial Analysis: provide comprehensive financial analysis to identify trends, variances, and areas for improvement. | Budgeting and Forecasting: assist in the crafting and monitoring of budgets and financial forecasts. | Reporting: prepare and present clear and concise financial reports for management and stakeholders. | Cost Management: analyze costs and expenses, identifying opportunities for cost savings and efficiency improvements. | Financial Planning: work cross-functionally to support the execution of financial plans. | Data Management: gather, maintain and analyze financial data from various sources, ensuring accuracy and completeness. | Month-end closing: assist in month end closing activities related to budget and FP&A.",2026-02-11,LinkedIn,S1,,Unknown,0,1,1,0
Management Development Program (MDP),PT Bank Central Asia Tbk (BCA),Jakarta,Full Time,,"S1, Bachelor",,"We challenge you who are highly passionate about leadership in banking to join our Management Development Program (MDP). It is a 1-year intensive training program focused on shaping leaders in BCA where you can experience a wide range of banking lessons. Through MDP, you will have the opportunity to grow yourself and your career path in BCA. | year structured and intensive training to strengthen candidate's soft skills | Possess excellent leadership, interpersonal and communication skills | Hold a Bachelor’s Degree (S1) with a minimum GPA of 3.00","Accelerate your career growth with BCA’s Management Development Program! | What do we offer to you: | Becoming a permanent employee at BCA’s branch office | Pocket money, health insurance, holiday allowances, and year-end allowances | Opportunity to accelerate your career in BCA | What does it take to be in this program? | A growth mindset person who loves challenges | Willing to be placed all over Indonesia | Fresh graduates are welcomed | If the above vacancy catches your eye, apply now!",2026-02-18,LinkedIn,S1,,Unknown,0,1,1,0
Finance Accounting,LG Sinar Mas,Area DKI Jakarta,Full Time,,Bachelor,,"Bachelor’s degree in accounting from a reputable university | Minimum 2 years of experience in finance or accounting roles | Experience in Big Four accounting firms is an advantage | Fluent in English, both written and verbal, is a must | Good understanding of basic accounting principles and financial processes | Proficient in Microsoft Excel and familiar with accounting software | Detail oriented, well organized, and disciplined | Strong attention to detail and numerical accuracy",Manage and verify supplier invoices to ensure accuracy and compliance | Prepare and process payments to customers and vendors in a timely manner | Record daily financial transactions related to operational activities | Assist in month-end and year-end closing activities | Maintain accurate and well documented financial records | Support internal financial reporting and reconciliation tasks | Coordinate with internal teams and external parties,2026-02-24,LinkedIn,S1,,Unknown,0,1,0,1
Buyer,PT Lion Super Indo,Jakarta Selatan,Full Time,,"S1, Bachelor",,"Bachelor Degree (S1) from any major | Open to Fresh Graduates and candidates with up to 3–4 years of experience, specifically in Buying | Intermediate skill in Microsoft Office (especially Excel) | ‘Can do’ attitude | Placement: Jakarta (WFO)","This position will evaluate the existing product to create excitement at stores so this position could achieve Buyer’s Key Performance Indicator such as: sales, profit, margin, other income, special project, service level, etc. This position will research some product so can meet the customer need and get the best condition for all product that’s purchased. Furthermore, Buyer need maintain relationship with other parties such as supplier, DC and stores.",2026-02-23,LinkedIn,S1,,Unknown,1,1,0,0
Warehouse staff,PT Indofood CBP Sukses Makmur Tbk - Noodle Division,Padalarang,Full Time,,"SMA, SMK",,Fresh graduate dipersilakan melamar (pengalaman warehouse menjadi nilai tambah) | Memahami dasar FIFO dan penyimpanan barang di warehouse | Memiliki ketelitian dan kecepatan kerja yang baik,Sehat jasmani dan siap bekerja di area warehouse (aktivitas fisik),2026-03-03,LinkedIn,SMA/SMK,,Unknown,0,0,0,0
Officer Development Program 2026 - National Hiring,PT Bank Mandiri (Persero) Tbk.,"Jakarta Raya, Indonesia",Full Time,,"S1, Bachelor, S2, Master",,"Local or International Bachelor's graduates (S1) or Master's/post-graduate (S2) in the relevant field of studies from a reputable University | Grade Point Average: Bachelor's degree (S1) at minimum 3,00 on a 4,00 GPA scale, or equivalent / or / Master's degree (S2) at minimum 3,20 on a 4,00 GPA scale, or equivalent | Maximum age at selection: Bachelor's degree (S1) at 25 years old / or / Master's degree (S2) at 27 years old | Demonstrate professional dispositions with good networking and communication skills | Fluent in English, both written and verbal communication | No member of the nuclear family currently works in Bank Mandiri (i.e., parents, siblings) | Single, never been married, and willing to remain unmarried during the first year of the program's journey | Willing to be relocated all over Indonesia | Good networking skills in formal and non-formal approaches with various levels of correspondence | Entrepreneurial, eager to connect with others, and willing to be part of related activities inside and outside of the organization to achieve goals | Good critical thinking and analytical skills in inquiring and acquiring relevant, comprehensive information | Excellent in communicating ideas, clearly and effectively to gain understanding and commitment from others","Bank Mandiri is one of the biggest, leading financial institutions in Indonesia, providing services to customers with a wide array of banking, investing, asset management, and other sustainable financial products and solutions. We believe that digital technology will continue to change Indonesia’s banking landscape in the future, along with the rapid migration of people’s activities to digital channels. Having started the digital transformation journey long before the pandemic, Bank Mandiri reaffirms our commitment to accelerating digital transformation and innovation towards becoming the best modern, digital bank in Indonesia to provide a better life for customers through our integrated digital financial services. | To support our aspirations, our various business segments, and our strong performance-driven culture across the organization, Bank Mandiri is committed to attracting and retaining high-quality talents across the country to assure our further accomplishments. You will be immersed in an exceptional and challenging work environment and surrounded by colleagues and leaders who are passionate about helping you grow.",2026-02-26,LinkedIn,S1,,Unknown,0,0,1,1
Accounts Payable - Finance,Shopee,"Jakarta Raya, Indonesia",Full Time,,Bachelor,,"Bachelor’s degree in Accounting, Finance, or a related field. | –3 years of experience in Accounts Payable or a similar role (fresh graduates with internships in accounting). | Strong understanding of accounting principles and invoice verification processes. | Detail-oriented with high accuracy and good analytical skills. | Proficient in Microsoft Excel and accounting software (e.g., SAP, Oracle, or similar). | Good communication and teamwork skills.","Verify the accuracy and completeness of invoices, supporting documents, and payment requests | Check that invoices comply with company policies, purchase orders, and approval hierarchies. | Match invoices with purchase orders and goods receipt notes (3-way matching). | Ensure all invoice details (amount, tax, vendor information, etc.) are correct before entries. | Record and make entries of invoices into the accounting system accurately and on time. | Coordinate with users from other teams to resolve discrepancies or missing documents.",2026-02-12,LinkedIn,S1,,Unknown,0,1,1,0
